"title","source","source_type","deadline","posted","award_ceiling","estimated_funding","indirect_rate","eligibility","fit","number","url","matched_terms","description"
"Security, Privacy, and Trust in Cyberspace","U.S. National Science Foundation","","2026-09-28","2024-12-06","1200000","60000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","25-515","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25515","data; infrastructure; privacy; outcomes; workforce; stem; science; engineering","Our world is at a pivotal moment where the boundaries dividing the physical and social worlds from the cyber world have become blurred. Cyberspace has evolved from an interconnected digital environment into a complex and interdependent cyber ecosystem that involves hardware, software, networks, data, people, organizations, countries, and the physical world. Critical functions of everyday life are deeply intertwined with computing, including health, government, commerce, the public sphere, education, critical infrastructure, interpersonal communication, and transportation. The complexity and inter-dependencies in cyberspace can be misused and exploited by malicious actors. These in turn can trigger adverse outcomes such as disruption of critical infrastructure and systems; theft of intellectual property and sensitive data; amplification of inequalities; disclosure of private information of individuals, organizations, and governments; and threats to lives, livelihoods, and reputations. Furthermore, constant attacks on the data and assets of corporations, governments, and individuals undermine people's trust in decision-making and processes that depend critically on these cyber systems. The Security, Privacy, and Trust in Cyberspace (SaTC 2.0) program aims to build trust in global cyber ecosystems. Trust is the core tenet of this program and, for the purposes of this solicitation, is broadly defined to include our confidence in the security, privacy, and resilience of cyberspace, particularly in the face of malicious intent. Achieving this level of confidence in cyberspace requires not only understanding the vulnerabilities in a system that could be exploited and how they can be addressed, but also understanding the social and technical dimensions of trust in cyber systems, along with the educational efforts needed to increase public awareness of risks in cyberspace, and building a well-trained corps of privacy and security professionals. SaTC 2.0 spans the interests of NSF's Directorates for Computer and Information Science and Engineering (CISE), Mathematical and Physical Sciences (MPS), Social, Behavioral and Economic Sciences (SBE), and STEM Education (EDU). Proposals must be submitted pursuant to one of the following designations, each of which may have additional requirements: RES: The Research (RES) designation is the focus of the multidisciplinary SaTC 2.0 research program. RES projects are limited to $1,200,000 in total budget, with durations of up to four years. Proposals with a total budget of more than $600,000 have additional requirements including Broadening Participation in Computing and collaboration plans. RES proposals may include an optional Transition to Education (TTE) plan with a budget up to $50,000 (within the RES total budget request) to co-evolve novel educational initiatives in the context of the proposed research. EDU: The Education (EDU) designation is used to identify proposals focusing on education and workforce training in building trust in security, privacy, and resilience of cyberspace. EDU proposals are limited to $500,000 in total budget, with durations of up to three years. EDU proposals that primarily focus on education research with demonstrated collaboration, as reflected in the PI team between cybersecurity subject matter experts and education researcher(s), may request an additional $100,000 beyond the $500,000 limit. SEED: The Seedling (SEED) category is intended for special topics defined by accompanying Dear Colleague Letters. SEED projects are limited to $300,000 in total budget, with durations of up to two years."
"Advanced Technological Education","U.S. National Science Foundation","","2026-10-01","2024-06-25","7500000","74000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-584","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24584","workforce; professional development; stem; higher education; college; career; workforce development; retention","With a focus on two-year Institutions of Higher Education (IHEs), the Advanced Technological Education (ATE) program supports the education of technicians for the high-technology fields that drive our nation's economy. The program involves partnerships between academic institutions (grades 7-12, IHEs), industry, and economic development agencies to promote improvement in the education of science and engineering technicians. It is strongly recommended that projects be faculty-led and required that courses and programs are credit-bearing, although materials developed may also be used for incumbent worker education. Materials may also be adapted and implemented as credit-bearing courses. The ATE program supports curriculum development; professional development of college faculty and secondary school teachers; career pathway development for both students and incumbent workers; and other activities including applied research projects that advance the knowledge base related to technician education. The ATE program encourages partnerships with other entities that may impact technician education. For example, with the National Institute of Standards and Technology (NIST) Manufacturing Extension Partnerships (MEPs) ( http://www.nist.gov/mep/index.cfm ) as applicable to support technician education programs and the industries they serve; and Manufacturing USA Institutes( https://manufacturing.gov/ ) addressing workforce development issues. The ATE program encourages proposals from Minority Serving Institutions as well as other institutions that support the recruitment, retention, and completion (certificate, degree, program)of the full spectrum of diverse talent that society has to offer, which includes underrepresented and underserved communities, in STEM technician education programs that award associate degrees."
"EDU Core Research","U.S. National Science Foundation","","2026-10-01","2026-05-15","2500000","35000000","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","80","21-588","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf21588","learning; workforce; stem; workforce development; science; broadening participation","The EDU Core Research (ECR) program offers this ECR:Core solicitation and invites proposals for fundamental research (curiosity-driven basic research and use-inspired basic research) that contributes to the general, explanatory knowledge that underlies STEM education in one or more of the three broadly conceived Research Areas: Research onSTEM Learning and Learning Environments, Research on Broadening Participation in STEM fields, andResearch on STEM Workforce Development. Within this framework, the ECR program supports a wide range of fundamental STEM education research activities, aimed at learners of all groups and ages in formal and informal settings. Fundamental researchgenerates knowledge and understanding with the potential for broad relevance. The potential implications of ECR fundamental research for improving STEM education practice may be indirect and long-term rather than direct and immediate. Moreover, whether they include basic or use-inspired basic research, all successful ECR:Core proposals focus on the advancement or refinement of foundational knowledge for STEM education. The amount of funding and duration requested in proposals submitted to the ECR:Core solicitation should align with the maturity of the proposed work and the size and scope of the empirical effort. The solicitation has three levels of funding with a range of budget sizes, and proposals may request a duration of 3 to 5 years for any level: (1)Level I proposals may request up to $500,000; (2)Level II proposals may request up to $1,500,000; (3)Level III proposalsmay request up to $2,500,000. All proposals should justify the level of funding and duration in the project description."
"Mathematical Foundations of Artificial Intelligence","U.S. National Science Foundation","","2026-10-09","2024-05-02","1500000","8500000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-569","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24569","ai; artificial intelligence; machine learning; learning; science; technology; engineering; mathematics","Machine Learning and Artificial Intelligence (AI) are enabling extraordinary scientific breakthroughs in fields ranging from protein folding, natural language processing, drug synthesis, and recommender systems to the discovery of novel engineering materials and products. These achievements lie at the confluence of mathematics, statistics, engineering and computer science, yet a clear explanation of the remarkable power and also the limitations of such AI systems has eluded scientists from all disciplines. Critical foundational gaps remain that, if not properly addressed, will soon limit advances in machine learning, curbing progress in artificial intelligence. It appears increasingly unlikely that these critical gaps can be surmounted with increased computational power and experimentation alone. Deeper mathematical understanding is essential to ensuring that AI can be harnessed to meet the future needs of society and enable broad scientific discovery, while forestalling the unintended consequences of a disruptive technology. The National Science Foundation Directorates for Mathematical and Physical Sciences (MPS), Computer and Information Science and Engineering (CISE), Engineering (ENG), and Social, Behavioral and Economic Sciences (SBE) will jointly sponsor research collaborations consisting of mathematicians, statisticians, computer scientists, engineers, and social and behavioral scientists focused on the mathematical and theoretical foundations of AI. Research activities should focus on the most challenging mathematical and theoretical questions aimed at understanding the capabilities, limitations, and emerging properties of AI methods as well as the development of novel, and mathematically grounded, design and analysis principles for the current and next generation of AI approaches. Specific research goals include: establishing a fundamental mathematical understanding of the factors determining the capabilities and limitations of current and emerging generation s of AI systems, including, but not limited to, foundation models, generative models, deep learning, statistical learning, federated learning, and other evolving paradigms; the development of mathematically grounded design and analysis principles for the current and next generations of AI systems; rigorous approaches for characterizing and validating machine learning algorithms and their predictions; research enabling provably reliable, translational, general-purpose AI systems and algorithms; e ncouragement of new collaborations &#8239;in this interdisciplinary research community and between institution s. The overall goal is to establish innovative and principled design and analysis approaches for AI technology using creative yet theoretically grounded mathematical and statistical frameworks, yielding explainable and interpretable models that can enable sustainable, socially responsible, and trustworthy AI."
"Algebra and Number Theory","U.S. National Science Foundation","","2026-10-09","2020-10-06","","","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","48","PD-20-1264","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5431","science","The Algebra and Number Theory program supports research in algebra, algebraic and arithmetic geometry, number theory, and representation theory. Conference proposals The Algebra and Number Theory program also provides support for conferences, workshops, summer/winter schools, and similar activities. Proposals should be submitted to PD 20-1264 using the ""Conference"" proposal type in research.gov. Proposals with budgets not exceeding $50,000, which in accordance with NSF policy can be reviewed internally, should be submitted: in May for events that will take place in January through April of the following year in October for events that will take place in May through December of the following year. In order to allow time for external review, proposals with budget requests exceeding $50,000 should be submitted nine to twelve months before the event is scheduled to take place."
"Research Experiences for Teachers (RET) in Engineering and Computer Science","U.S. National Science Foundation","","2026-10-14","2023-10-31","","5800000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","72","24-503","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24503","science; engineering; computer science; pathways","The Research Experiences for Teachers (RET) in Engineering and Computer Science program supports authentic summer research experiences for K-14 educators to foster long-term collaborations between universities, community colleges, school districts, and industry partners. With this solicitation, the Directorates for Engineering (ENG) and Computer and Information Science and Engineering (CISE) focus on a reciprocal exchange of expertise between K-14 educators and research faculty and (when applicable) industry mentors. K-14 educators will enhance their scientific disciplinary knowledge in engineering or computer science and translate their research experiences into classroom activities and curricula to broaden their students' awareness of and participation in computing and engineering pathways. At the same time, the hosting research faculty will deepen their understanding of classroom practices, current curricula, pedagogy, and K-14 educational environments."
"Historically Black Colleges and Universities - Excellence in Research","U.S. National Science Foundation","","2026-10-20","2023-06-08","","28000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","64","23-598","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23598","hbcu; science","The Historically Black Colleges and Universities - Excellence in Research (HBCU-EiR) program was established in response to direction provided in the Senate Commerce and Justice, Science and Related Agencies Appropriations Subcommittee Report (Senate Report 115-139), and is built on prior and continuing efforts by the National Science Foundation (NSF) to strengthen research capacity at Historically Black Colleges and Universities (HBCUs). This report provided guidance to NSF to establish the HBCU Excellence in Research program ""to provide opportunities for both public and private HBCUs, particularly for those who have not been successful in larger NSF Research & Related Activities competitions, in order to stimulate sustainable improvement in their research and development capacity"" ( https://congress.gov/congressional-report/115th-congress/senate-report/139/1 ). EiR supports such capacity building by funding research projects aligned with NSF's research programs. The program aims to establish stronger connections between researchers at HBCUs and NSF's research programs."
"NSF's Eddie Bernice Johnson Inclusion across the Nation of Communities of Learners of Underrepresented Discoverers in Engineering and Science (INCLUDES) Initiative","U.S. National Science Foundation","","2026-10-27","2025-05-23","","5500000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","22-622","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf22622","infrastructure; evaluation; workforce; equity; accessibility; stem; science; technology","In 2016, the National Science Foundation (NSF) unveiled a set of ""Big Ideas,"" 10 bold, long-term research and process ideas that identify areas for future investment at the frontiers of science and engineering (see https://www.nsf.gov/news/special_reports/big_ideas/index.jsp ). The Big Ideas represent unique opportunities to position our Nation at the cutting edge of global science and engineering leadership by bringing together diverse disciplinary perspectives to support convergence research. As such, when responding to this solicitation, even though proposals must be submitted to the Directorate for STEM Education (EDU) / Division of Equity for Excellence in STEM (EES), once received, the proposals will be managed by a cross-disciplinary team of NSF Program Directors. The INCLUDES Initiative is a comprehensive , national effort to enhance U.S. leadership in science, technology, engineering, and mathematics (STEM) discovery and innovation, focused on NSF ' s commitment to ensuring accessibility and inclusivity in STEM fields, as communicated in the NSF Strategic Plan for Fiscal Years (FY) 2022 - 2026 . The vision of the INCLUDES Initiative is to catalyze the STEM enterprise to work collaboratively for inclusive change, resulting in a STEM workforce that reflects the Nation's population. More specifically, the INCLUDES Initiative seeks to motivate and accelerate collaborative infrastructure building to sustain systemic change to broaden participation in STEM fields at scale. Significant advancement of the INCLUDES Initiative's goals will result in a new generation of STEM talent and leadership to secure the Nation's future and long-term economic competitiveness . With this solicitation, NSF offers support for five types of projects that connect and contribute to the National Network : (1) Design and Development Launch Pilot s , (2) Collaborative Change Consortia, (3) Alliances, (4) Network Connectors, and (5) Conferences. T he INCLUDES National Network is a multifaceted collaboration of agencies, organizations, and individuals working collectively to broaden participation in STEM. The INCLUDES National Network serves as a testbed for designing, implementing, studying, refining, and scaling collaborative change models and is composed of: INCLUDES funded projects Other NSF funded projects Subcommittee on Federal Coordination in STEM Education (FC-STEM) agencies S cholars engaged in broadening participation research and evaluation, and O rganizations that support the development of talent from all sectors of society to build an inclusive STEM workforce . All INCLUDES funded projects must operationalize five design elements of collaborative infrastructure - (1) shared vision, (2) partnerships, (3) goals and metrics, (4) leadership and communication, and (5) expansion, sustainability, and scale - to create systemic change that broadens participation in STEM ."
"SBE Postdoctoral Research Fellowships","U.S. National Science Foundation","","2026-11-04","2022-10-08","170000","3000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","64","23-500","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23500","science; broadening participation","The Directorate for Social, Behavioral and Economic Sciences (SBE) offers Postdoctoral Research Fellowships to encourageindependence earlyin the fellow'scareerby supporting his or herresearch and training goals.The research and training plan of each fellowship must address important scientific questions within thescope of the SBE directorate and the specific guidelines in this solicitation. The SPRF program offers two tracks: (I) Fundamental Research in the SBE Sciences (SPRF-FR) and (II) Broadening Participation in the SBE Sciences (SPRF-BP). See the full text of the solicitation for a detailed description of these tracks."
"Major Research Instrumentation Program","U.S. National Science Foundation","","2026-11-16","2022-11-22","4000000","75000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","84","23-519","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23519","open; stem; higher education; career; science; engineering; mathematics","The Major Research Instrumentation (MRI) Program ( MRI Program Website) serves to increase access to multi-user scientific and engineering instrumentation for research and research training in our Nation's institutions of higher education and not-for-profit scientific/engineering research organizations. An MRI award supports the acquisition of a multi-user research instrument that is commercially available through direct purchase from a vendor, or for the personnel costs and equipment that are required for the development of an instrument with new capabilities, thereby advancing instrumentation capabilities and enhancing expertise for instrument design and fabrication at academic institutions. MRI instruments are, in general, too costly and/or not appropriate for support through other NSF programs. MRI provides support to acquire critical research instrumentation without which advances in fundamental science and engineering research may not otherwise occur. MRI also provides support to obtain next-generation research instruments by developing instruments with new capabilities that open new opportunities to advance the frontiers in science and engineering research. Additionally, an MRI award is expected to enhance research training of students who will become the next generation of instrument users, designers and builders. An MRI proposal may request from NSF up to $4 million for either acquisition or development of a research instrument. Each performing organization may submit in revised ""Tracks"" as defined below, with no more than two (2) submissions in Track 1 and no more than one (1) submission in Track 2. For the newly defined Track 3, no more than one (1) submission per competition is permitted. As a result, it is now possible for an institution to submit up to four MRI proposals within the Track limits as described above. Track 1: Track 1 MRI proposals are those that request funds from NSF greater than $100,000 [1] and less than $1,400,000. Track 2: Track 2 MRI proposals are those that request funds from NSF greater than or equal to $1,400,000 up to and including $4,000,000. Track 3: Track 3 MRI proposals are those that request funds from NSF greater than or equal to $100,000 [1] and less than or equal to $4,000,000 that include the purchase, installation, operation, and maintenance of equipment and instrumentation to conserve or reduce the consumption of helium. Institutions may submit no more than one Track 3 proposal. Submission of a Track 3 proposal does not impact limits that apply for Track 1 and Track 2 proposals. Cost sharing requirements for new awards in the MRI Program are waived for a period of 5 years beginning with the FY 2023 MRI competition. Institutional submission limits for Track 1, Track 2 and Track 3 proposals remain. The MRI Program especially seeks broad representation of groups, institutions, and geographic regions that are underrepresented in STEM disciplines. Proposals from women, underrepresented minorities, persons with disabilities and early-career PIs are encouraged, as are proposals that benefit early-career researchers and proposals with PIs from geographically underserved regions, including EPSCoR jurisdictions. Additionally, proposals are encouraged from under-resourced institutions, including from emerging research institutions, where MRI can significantly build capacity for research. ___________________________ [1] Track 1 proposals requesting funds from NSF less than $100,000 will be accepted only from: a) eligible performing organizations requesting instrumentation supporting research in the disciplines of mathematics or social, behavioral and economic sciences; or b) non-Ph.D.-granting institutions of higher education requesting instrumentation supporting research in any NSF-supported disciplines."
"Applied Mathematics","U.S. National Science Foundation","","2026-11-16","2025-03-16","","","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","28","PD-16-1266","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5664","science; engineering; mathematics","The Applied Mathematics program supports mathematics research motivated by and contributing to the solution of problems arising in science and engineering. Successful proposals must demonstrate mathematical innovation, as well as breadth and quality of impact on applications. Projects that additionally provide opportunities for rigorous mathematical training of junior applied mathematicians through their involvement in research are encouraged. The proposals considered by the Applied Mathematics program may range from single investigator to interdisciplinary team projects. Conferences Proposals to the Applied Mathematics program for conferences or workshops should be submitted through the program solicitation ""Conferences and Workshops in the Mathematical Sciences"" (link below). Principal Investigators should carefully read the program solicitation to obtain important information regarding the substance of proposals for conferences, workshops, summer/winter schools, and similar activities. To facilitate timely notification of the availability of support: Proposals for conferences, workshops, etc., to be held in the US must be submitted 8 months in advance of the conference date; Proposals to support group travel to meetings outside the US must be submitted 12 months in advance of the meeting date; Proposals for conferences, workshops, etc., whose budget request exceeds $50,000 must be submitted during the annual November submission window."
"National Science Foundation Translation to Practice","U.S. National Science Foundation","","2026-11-17","2025-07-09","2000000","30000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","88","25-540","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25540","open; workforce; stem; higher education; science; technology; engineering; pathways","The U.S. NSF Directorate for Technology, Innovation and Partnerships (NSF TIP) partners across sectors to advance three primary focus areas - accelerating technology translation and development, fostering regional innovation and economic growth, and preparing the American workforce for future high-wage jobs in STEM fields. The translation of research to practice ensures that the insights and innovations developed through scientific study and experimentation have tangible, positive impacts for the Nation. These impacts include improving the quality of life, promoting economic and job growth, ensuring national security, and maintaining global competitiveness. Indeed, scientific and engineering breakthroughs have the potential to address critical societal challenges in industries such as aerospace, agriculture, communications, education, energy, healthcare, national security, and transportation - but the translation of discoveries and innovations from the laboratory to society often takes many forms including non-linear pathways. The NSF TTP program was developed with several goals in mind: To identify and support use-inspired research and translational activities enabling a continuum from foundational research to practice; To develop partnerships and collaborations between institutions of higher education and other entities (e.g., industry, state/local/national government agencies, philanthropies, open-source ecosystems, for-benefit, for-profit and non-profit organizations, international organizations, etc.); To promote and advance the education and training of students and postdoctoral researchers, encouraging the participation of all Americans in STEM including innovation and entrepreneurship; and To identify future customer needs and opportunities and bring these to the forefront in the conduct of use-inspired research and translational activities. The NSF TTP program offers three tracks that represent different starting points or stages in moving discoveries and innovations from the laboratory to practice: NSF TTP-Explore (NSF TTP-E) is a pilot track that is likely to be the first step for researchers seeking to translate their basic research to practice. To be eligible for the NSF TTP-E track, proposers must have an active, eligible, NSF research award (see Eligibility Information for further details). TTP-E is designed to encourage current, eligible NSF awardees to intentionally pursue applications of their research with the potential for societal impact. The NSF TTP-E track provides the opportunity to obtain an extension of the initial award period of a current NSF award for up to two years in order to offer investigators an opportunity to explore adventurous, high-risk, use-inspired research and initial translational activities as the starting point for translation that was not covered by the original research award. NSF TTP-Translate (NSF TTP-T) starts with use-inspired research and initial translational activities and further matures the idea(s), iterates and improves the solution(s), and lowers the barrier(s) to effective translation of research from lab to practice. NSF TTP-Partner (NSF TTP-P) supports translational efforts that demand one or more partnerships for technology development and deployment. Here, strategic partnerships with stakeholders beyond U.S. institutions of higher education are essential ingredients for success and may include industry partners, government entities at all levels, philanthropies, international organizations, or other groups associated with large scale productization and distribution. The NSF TTP-P track requires an NSF-Catalyzed Partnership with an organization that will assist in the translation to practice. In addition to the Principal Investigator (PI), NSF TTP-P proposals must include a co-PI or Senior/Key Personnel who is a member or employee of the NSF-Catalyzed Partner. Partnerships with U.S. institutions of higher education are valued, but NSF TTP strongly prioritizes NSF-Catalyzed Partnerships that are able to help bring the product, process, or service to the market, potentially through licensing agreements, startup or small business formation, incorporation into an existing open-source ecosystem, development into standards setting arrangements, etc."
"National Science Foundation Fostering Interdisciplinary Networks to Develop Emergent and Responsive Solutions Foundry","U.S. National Science Foundation","","2026-11-18","2026-03-23","","8500000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","26-507","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26507","ai; artificial intelligence; learning; outcomes; evidence; workforce; implementation; k-12","The NSF FINDERS FOUNDRY program supports collaboration among K-12 educators, technologists, and researchers to develop innovative solutions to persistent challenges in learning and workforce development. These challenges are identified by K-12 students, families, and educators. The program aims to create and scale evidence-based practices, tools, and technologies that improve learning outcomes and prepare students for a digital, Artificial Intelligence (AI)-driven future. A key focus is early exposure to AI to build curiosity, understanding, and readiness for future careers. The program encourages partnerships across sectors - schools, universities, industry, government, and nonprofits - to co-design responsive, technology-based solutions. NSF FINDERS FOUNDRY program includes two phases: Planning and Development. Planning proposals help teams explore one of several focus areas. Only teams awarded Planning grants may submit Development proposals, which support the growth and implementation of promising ideas. The program aligns with national priorities, including the Executive Order 14277, ""Advancing Artificial Intelligence Education for American Youth "" (April 23, 2025), and the CHIPS and Science Act of 2022, Public Law 117-167 , Sections 10381-10383 and 10395."
"Louis Stokes Alliances for Minority Participation","U.S. National Science Foundation","","2026-11-20","2025-05-23","5000000","38000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-563","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24563","learning; evidence; assessment; workforce; implementation; stem; higher education; student success","The Louis Stokes Alliances for Minority Participation (LSAMP) program invests in the Nation's colleges and universities to aid student success to create a new generation of STEM discoverers for the national STEM enterprise. The program takes a comprehensive approach to the STEM Learning Ecosystem to impact STEM student development and retention. LSAMP is an alliance-based program, whereby a group of institutions of higher education (IHEs) work together to diversify the nation's science, technology, engineering, and mathematics (STEM) workforce by increasing the number of STEM baccalaureate and graduate degrees awarded to persons from LSAMP populations. LSAMP populations are defined as persons from groups underrepresented in the STEM enterprise: Blacks and African-Americans, Hispanic and Latino Americans, American Indians, Alaska Natives, Native Hawaiians, and Pacific Islanders. The LSAMP program provides funding to alliances that implement comprehensive, evidence-based, innovative, and sustained strategies that ultimately result in the graduation of well-prepared, highly competitive students from LSAMP populations who pursue graduate studies or careers in STEM, while also supporting knowledge generation, knowledge utilization, assessment of program impacts, dissemination activities and dissemination of scholarly research into the field. Projects supported by the LSAMP program include: --Alliance Development Grants (ADG) support the conceptualization and development of new B2B and new SPIO alliances. (New) --Bridge-to-the-Baccalaureate (B2B) alliances facilitate the successful transfer of students from LSAMP populations to four-year institutions in pursuit of STEM baccalaureate degrees. --STEM Pathways Implementation-Only (SPIO) alliances are designed for new and reconstituted alliances. These projects focus on building and strengthening strategies and approaches to assist Institutions of Higher Education (IHEs) increase STEM baccalaureate degrees to LSAMP populations and facilitate entry into STEM graduate degree programs. --STEM Pathways Research Alliances (SPRA) are designed for well-established alliances. These projects serve as models of excellence in STEM broadening participation by (1) steadily increasing STEM baccalaureate degrees to LSAMP populations and facilitating entry into STEM graduate degree programs; (2) producing and disseminating new scholarly research on the broadening participation of LSAMP populations (or underrepresented and underserved populations in STEM disciplines and the nation's STEM workforce) and, (3) holistically assess the state of institutionalization and sustainability of the alliance. --Bridge to STEM Graduate Degrees in National Priorities (BD-Master's) projects support cohorts of six graduate students pursuing a M. S. degree in STEM national priority areas, providing financial support (stipends and cost of education) and support to help develop and maintain academic and research skills that enable participants to successfully persist in STEM graduate degree programs at Master's comprehensive-degree producing institutions only. (New) --Bridge to STEM Graduate Degrees in National Priorities (BD-Doctoral) projects support cohorts of twelve graduate students pursuing a Ph.D. degree in STEM national priority areas, providing financial support (stipends and cost of education) and support to help develop and maintain academic and research skills that enable participants to successfully persist in STEM doctoral degree programs. --STEM Networking Incentives and Engagement (NETWORKS) projects provide support to incentivize the creation and participation of LSAMP populations in STEM networks. (New)"
"Centers of Research Excellence in Science and Technology","U.S. National Science Foundation","","2026-12-04","2023-05-25","","8000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","23-595","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23595","evidence; workforce; equity; stem; k-12; workforce development; retention; science","CREST Center awards provide support to enhance the research capabilities of Minority-serving institutions (MSIs) through the establishment of centers that effectively integrate education and research. CREST Center awards promote the development of new knowledge, enhancements of the research productivity of individual faculty, and an expanded presence of students historically underrepresented in science, technology, engineering, and mathematics (STEM) disciplines. Successful CREST Center proposals will demonstrate a clear vision and integration of STEM research and education and will align with the mission of the Division of Equity for Excellence in STEM (EES) with respect to the development of a diverse STEM workforce. CREST Centers are also expected to provide leadership by meaningfully involving the efforts of those faculty, students, and postdoctoral researchers who are traditionally underrepresented in STEM at all levels. Centers are required to use evidence-based and innovative strategies to address salient broadening participation and workforce development issues, such as recruitment, retention, and mentorship of participants from underrepresented groups. Successful proposals are expected to achieve national research competitiveness, broaden participation in STEM, and generate sustained, non-CREST funding from federal, state, and/or private-sector sources. PhaseI and Phase II CREST Center Awards Preliminary proposals are required for Phase I and Phase II projects. Thus, an invitation from NSF must be received before submitting a full proposal. Both Phase I and Phase II CREST Center awards provide multi-year support for institutions that demonstrate a strong research base. Phase I CREST Center awards provide funding for five years of research on a specific NSF-supported topic. If invited, institutions may submit a Phase II CREST Center proposal requesting funding to continue research in the same disciplinary area as the Phase I Center or may submit a Phase I proposal focused on a disciplinary area that is significantly different from those of the previous award(s). CREST Partnership Supplements CREST Partnership Supplemental funding requests are invited from current CREST Center awardees. Supplements support the establishment or strengthening of partnerships and collaborations with active CREST Centers and other nationally or internationally recognized research centers (including NSF-supported research centers), private sector research laboratories, K-12 schools, and/or informal science entities, including museums and science centers, as appropriate. Such partnerships and collaborations should aid CREST Centers' quest in advancing knowledge and education on a research theme of national significance."
